bb,nodes,file,slowest,avg
BB,1,fx.sgt,18.231825,1.29123
BB,1,fy.sgt,19.061163,1.28879
No-BB,1,fx.sgt,626.858933,2.8482
No-BB,1,fy.sgt,526.955332,2.9461
BB,4,fx.sgt,18.231825,0.82107
BB,4,fy.sgt,19.061163,0.81034
No-BB,4,fx.sgt,626.858933,2.3111
No-BB,4,fy.sgt,526.955332,2.2998
BB,8,fx.sgt,18.231825,0.61968
BB,8,fy.sgt,19.061163,0.60784
No-BB,8,fx.sgt,626.858933,1.9243
No-BB,8,fy.sgt,526.955332,1.8711
BB,16,fx.sgt,18.231825,0.432578
BB,16,fy.sgt,19.061163,0.422438
No-BB,16,fx.sgt,626.858933,1.62987
No-BB,16,fy.sgt,526.955332,1.3767
BB,32,fx.sgt,18.231825,0.33535
BB,32,fy.sgt,19.061163,0.38423
No-BB,32,fx.sgt,626.858933,1.47463
No-BB,32,fy.sgt,526.955332,1.369852
BB,64,fx.sgt,18.231825,0.393358
BB,64,fy.sgt,19.061163,0.431361
No-BB,64,fx.sgt,626.858933,1.648522
No-BB,64,fy.sgt,526.955332,1.385476
BB,128,fx.sgt,21.48071,0.48134
BB,128,fy.sgt,20.91234,0.460876
No-BB,128,fx.sgt,626.858933,1.856278
No-BB,128,fy.sgt,526.955332,1.754873
