BB,nodes,file,perf,speedup
BB,1,fx.sgt,3989.67,1.0
BB,1,fy.sgt,4002.03,1.0
No-BB,1,fx.sgt,503.12,1.0
No-BB,1,fy.sgt,501.99,1.0
BB,4,fx.sgt,6443.11,1.51
BB,4,fy.sgt,6392.55,1.51
No-BB,4,fx.sgt,499.97,1.01
No-BB,4,fy.sgt,502.10,1.01
BB,8,fx.sgt,6865.87,1.63
BB,8,fy.sgt,6922.07,1.63
No-BB,8,fx.sgt,500.33,1.0
No-BB,8,fy.sgt,507.12,1.0
BB,16,fx.sgt,8012.11,1.96
BB,16,fy.sgt,7932.90,1.96
No-BB,16,fx.sgt,510.34,0.99
No-BB,16,fy.sgt,517.65,0.99
BB,32,fx.sgt,8147.76,2.10
BB,32,fy.sgt,8242.90,2.10
No-BB,32,fx.sgt,513.10,0.96
No-BB,32,fy.sgt,511.31,0.96
BB,64,fx.sgt,7554.32,1.82
BB,64,fy.sgt,7624.79,1.82
No-BB,64,fx.sgt,519.30,0.94
No-BB,64,fy.sgt,524.25,0.94
BB,128,fx.sgt,7311.87,1.77
BB,128,fy.sgt,7477.01,1.77
No-BB,128,fx.sgt,503.34,0.88
No-BB,128,fy.sgt,552.16,0.88
