bb,nodes,file,slowest,avg,speedup
BB,1,fx.sgt,18.231825,187.23,0
BB,1,fy.sgt,19.061163,180.05,0
No-BB,1,fx.sgt,626.858933,2079.2,0
No-BB,1,fy.sgt,526.955332,2002.87,0
BB,4,fx.sgt,18.231825,101.69,0
BB,4,fy.sgt,19.061163,97.02,0
No-BB,4,fx.sgt,626.858933,1409.83,0
No-BB,4,fy.sgt,526.955332,1322.10,0
BB,8,fx.sgt,18.231825,57.1023,0
BB,8,fy.sgt,19.061163,53.9204,0
No-BB,8,fx.sgt,626.858933,891.940,0
No-BB,8,fy.sgt,526.955332,831.672,0
BB,16,fx.sgt,18.231825,37.99,0
BB,16,fy.sgt,19.061163,37.24,0
No-BB,16,fx.sgt,626.858933,709.12,0
No-BB,16,fy.sgt,526.955332,611.09,0
BB,32,fx.sgt,18.231825,35.8761,0
BB,32,fy.sgt,19.061163,33.5323,0
No-BB,32,fx.sgt,626.858933,689.930,0
No-BB,32,fy.sgt,526.955332,592.021,0
BB,64,fx.sgt,37.074290,36.647467,0
BB,64,fy.sgt,36.868787,36.861256,0
No-BB,64,fx.sgt,707.100261,706.168112,0
No-BB,64,fy.sgt,593.240852,593.224668,0
BB,128,fx.sgt,21.48071,44.251,0
BB,128,fy.sgt,20.91234,41.940,0
No-BB,128,fx.sgt,626.858933,745.734,0
No-BB,128,fy.sgt,526.955332,652.923,0
